日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,29.36,30.27,30.3,29.22,288344,863396928.0,3.72,4.27,1.24,3.27
2020-01-03,30.38,29.9,30.6,29.78,167163,503202240.0,2.71,-1.22,-0.37,1.9
2020-01-06,29.81,29.5,30.09,29.3,175395,521742368.0,2.64,-1.34,-0.4,1.99
2020-01-07,29.39,30.58,30.67,29.39,168411,508945056.0,4.34,3.66,1.08,1.91
2020-01-08,30.4,30.24,30.87,30.18,172473,524701680.0,2.26,-1.11,-0.34,1.96
2020-01-09,30.5,31.41,31.68,30.5,194390,607070656.0,3.9,3.87,1.17,2.2
2020-01-10,31.47,31.44,31.8,31.01,105498,329334176.0,2.52,0.1,0.03,1.2
2020-01-13,31.44,31.2,31.5,30.75,129453,401887392.0,2.39,-0.76,-0.24,1.47
2020-01-14,31.17,31.2,31.55,30.86,93345,290788624.0,2.21,0.0,0.0,1.06
2020-01-15,31.2,31.67,31.68,30.98,125002,392473120.0,2.24,1.51,0.47,1.42
2020-01-16,31.4,30.76,31.64,30.75,155592,482404768.0,2.81,-2.87,-0.91,1.76
2020-01-17,31.0,30.55,31.08,30.42,90458,277434016.0,2.15,-0.68,-0.21,1.03
2020-01-20,30.5,30.31,30.66,30.03,138211,418236544.0,2.06,-0.79,-0.24,1.57
2020-01-21,30.2,30.45,30.9,30.04,160860,491044864.0,2.84,0.46,0.14,1.82
2020-01-22,30.48,30.55,30.82,29.62,124832,375817360.0,3.94,0.33,0.1,1.42
2020-01-23,30.09,29.26,30.09,28.84,149010,438673040.0,4.09,-4.22,-1.29,1.69
2020-02-03,26.33,28.84,29.25,26.33,348477,985536960.0,9.98,-1.44,-0.42,3.95
2020-02-04,28.7,29.3,29.76,28.69,160808,471423648.0,3.71,1.6,0.46,1.82
2020-02-05,29.6,28.99,29.6,28.86,145114,421872864.0,2.53,-1.06,-0.31,1.65
2020-02-06,29.0,30.8,30.8,28.51,203134,602664112.0,7.9,6.24,1.81,2.3
2020-02-07,30.5,32.78,33.29,30.03,308969,989180544.0,10.58,6.43,1.98,3.5
2020-02-10,32.64,33.03,34.19,32.5,294346,981811424.0,5.16,0.76,0.25,3.34
2020-02-11,32.99,32.44,32.99,32.2,190733,620353936.0,2.39,-1.79,-0.59,2.16
2020-02-12,32.5,32.5,32.72,32.12,143951,466305264.0,1.85,0.18,0.06,1.63
2020-02-13,32.28,32.38,32.99,32.01,135184,437360160.0,3.02,-0.37,-0.12,1.53
2020-02-14,32.36,33.29,33.32,32.18,143055,470696256.0,3.52,2.81,0.91,1.62
2020-02-17,33.36,34.06,34.38,32.97,166362,563275568.0,4.24,2.31,0.77,1.89
2020-02-18,33.95,33.57,33.99,33.33,109707,368953392.0,1.94,-1.44,-0.49,1.24
2020-02-19,33.55,35.9,36.07,33.26,243203,857697184.0,8.37,6.94,2.33,2.76
