day,open,high,low,close,volume
2024-05-21 10:36:00,30.28,30.29,30.27,30.28,3300
2024-05-21 10:37:00,30.29,30.29,30.28,30.28,700
2024-05-21 10:38:00,30.28,30.35,30.27,30.35,4400
2024-05-21 10:39:00,30.4,30.49,30.32,30.49,3900
2024-05-21 10:40:00,30.39,30.55,30.39,30.55,2200
2024-05-21 10:41:00,30.45,30.51,30.45,30.51,1500
2024-05-21 10:42:00,30.51,30.51,30.51,30.51,200
2024-05-21 10:43:00,30.54,30.68,30.54,30.68,9900
2024-05-21 10:44:00,30.68,30.68,30.59,30.59,1600
2024-05-21 10:46:00,30.59,30.77,30.54,30.6,33000
2024-05-21 10:47:00,30.64,30.77,30.64,30.73,14200
2024-05-21 10:48:00,30.77,30.9,30.68,30.68,32200
2024-05-21 10:49:00,30.68,30.68,30.61,30.65,10400
2024-05-21 10:50:00,30.58,30.58,30.58,30.58,500
2024-05-21 10:51:00,30.56,30.56,30.56,30.56,100
2024-05-21 10:52:00,30.56,30.56,30.5,30.5,7800
2024-05-21 10:53:00,30.5,30.52,30.5,30.51,1900
2024-05-21 10:54:00,30.51,30.51,30.51,30.51,400
2024-05-21 10:55:00,30.5,30.51,30.48,30.48,10700
2024-05-21 10:56:00,30.5,30.7,30.5,30.7,11400
2024-05-21 10:57:00,30.67,30.67,30.53,30.53,3900
2024-05-21 10:58:00,30.49,30.51,30.49,30.49,700
2024-05-21 10:59:00,30.5,30.5,30.5,30.5,2100
2024-05-21 11:00:00,30.61,30.7,30.55,30.7,13500
2024-05-21 11:01:00,30.69,30.84,30.69,30.7,4800
2024-05-21 11:02:00,30.71,30.83,30.71,30.8,2800
2024-05-21 11:03:00,30.73,30.99,30.72,30.99,72500
2024-05-21 11:04:00,30.8,31.18,30.69,30.83,50300
2024-05-21 11:05:00,30.85,30.99,30.79,30.79,10600
2024-05-21 11:06:00,30.8,30.93,30.75,30.93,33700
2024-05-21 11:07:00,30.78,30.96,30.77,30.81,8500
2024-05-21 11:08:00,30.94,31.09,30.92,30.92,59000
2024-05-21 11:09:00,30.93,30.97,30.88,30.97,6500
2024-05-21 11:10:00,30.99,31.0,30.93,31.0,3800
2024-05-21 11:11:00,30.95,31.09,30.94,31.02,33800
2024-05-21 11:12:00,30.96,30.96,30.96,30.96,100
2024-05-21 11:13:00,30.96,30.96,30.95,30.95,1900
2024-05-21 11:14:00,30.96,31.17,30.94,31.01,53100
2024-05-21 11:15:00,30.95,31.17,30.95,31.0,26000
2024-05-21 11:16:00,31.0,31.05,30.88,30.88,70600
2024-05-21 11:17:00,30.89,30.89,30.87,30.87,2200
2024-05-21 11:18:00,30.89,30.89,30.81,30.81,13900
2024-05-21 11:19:00,30.81,30.81,30.78,30.78,5600
2024-05-21 11:20:00,30.77,30.78,30.75,30.75,3800
2024-05-21 11:21:00,30.78,30.78,30.76,30.76,1100
2024-05-21 11:22:00,30.76,30.76,30.76,30.76,1000
2024-05-21 11:23:00,30.76,30.76,30.72,30.74,2600
2024-05-21 11:24:00,30.75,30.77,30.75,30.77,1800
2024-05-21 11:25:00,30.76,30.76,30.76,30.76,300
2024-05-21 11:26:00,30.75,30.75,30.75,30.75,600
2024-05-21 11:27:00,30.75,30.75,30.75,30.75,100
2024-05-21 11:28:00,30.76,30.96,30.76,30.96,8400
2024-05-21 11:29:00,30.75,30.85,30.75,30.83,300
